lat,long,compon_n,compon_e,erro_n,erro_e
19,-66,0.0125,0.0099,0.0004,0.0006
19,-65,0.0128,0.0098,0.0004,0.0006
19,-64,0.0133,0.0099,0.0004,0.0007
19,-63,0.0142,0.0099,0.0004,0.0004
18,-103,-0.0024,-0.0026,0.0035,0.0017
18,-102,-0.0024,-0.0029,0.0035,0.0017
18,-101,-0.0027,-0.0026,0.0039,0.0014
18,-100,-0.0033,-0.0039,0.0024,0.0004
18,-99,-0.0028,-0.0038,0.0028,0.0003
18,-98,-0.0022,-0.0039,0.0028,0.0003
18,-97,-0.0011,-0.0039,0.0027,0.0003
18,-96,-0.0012,-0.0044,0.0028,0.0007
18,-95,-0.0006,-0.0041,0.0025,0.0008
18,-94,0.0001,-0.0042,0.0022,0.0009
18,-93,-0.0011,-0.005,0.0013,0.0014
18,-92,-0.0006,-0.0051,0.0013,0.0014
18,-91,-0.0027,-0.0074,0.001,0.0015
18,-90,-0.0022,-0.0071,0.001,0.0014
18,-89,-0.0016,-0.0067,0.0009,0.0011
18,-88,-0.0008,-0.0057,0.0002,0.0006
18,-87,0.0013,-0.0015,0.0027,0.0069
18,-86,0.0023,0.0014,0.0029,0.0067
18,-85,0.0029,0.0014,0.0029,0.0067
18,-84,0.0027,0.0014,0.0034,0.0067
18,-83,0.0008,-0.0028,0.0006,0.0018
18,-82,0.0011,-0.0033,0.0006,0.0019
18,-81,0.0013,-0.0042,0.0002,0.0008
18,-80,0.0018,-0.0042,0.0002,0.0008
18,-79,0.0034,0.0012,0.0015,0.0064
18,-78,0.0054,0.0086,0.0003,0.001
18,-77,0.0059,0.0086,0.0003,0.0009
18,-76,0.0064,0.0086,0.0003,0.001
18,-75,0.0073,0.0088,0.0009,0.0009
18,-74,0.0073,0.009,0.002,0.0009
18,-73,0.0076,0.0093,0.0019,0.0011
18,-72,0.0068,0.0074,0.002,0.0034
18,-71,0.0069,0.0083,0.0009,0.0027
18,-70,0.0069,0.0063,0.0012,0.0041
18,-69,0.0081,0.0082,0.0016,0.0013
18,-68,0.0105,0.0094,0.0014,0.0009
18,-67,0.0121,0.0103,0.0009,0.0007
18,-66,0.0124,0.0104,0.0004,0.0006
18,-65,0.0127,0.0105,0.0004,0.0006
18,-64,0.0133,0.0105,0.0004,0.0007
18,-63,0.0157,0.0107,0.0032,0.0011
18,-62,0.0167,0.0107,0.0034,0.0011
18,-61,0.0178,0.0109,0.0036,0.0012
17,-101,-0.0027,-0.002,0.004,0.0014
17,-100,-0.003,-0.0032,0.0028,0.0003
17,-99,-0.0025,-0.0033,0.0028,0.0003
17,-98,-0.0017,-0.0033,0.0028,0.0003
17,-97,0.0007,-0.0035,0.0023,0.0003
17,-96,-0.0012,-0.0038,0.0028,0.0007
17,-95,0.0004,-0.0036,0.0023,0.0009
17,-94,0.0004,-0.0036,0.0022,0.0009
17,-93,-0.0018,-0.0048,0.0017,0.0014
17,-92,-0.0021,-0.0057,0.0019,0.0019
17,-91,-0.0023,-0.0061,0.0016,0.0017
17,-90,-0.0023,-0.0065,0.0008,0.0012
17,-89,-0.0014,-0.0057,0.001,0.0023
17,-88,0.0002,-0.0025,0.0024,0.0062
17,-87,0.0028,0.0025,0.0027,0.0074
17,-86,0.0022,0.0015,0.0027,0.0067
17,-85,0.0033,0.0042,0.0026,0.007
17,-84,0.0045,0.0073,0.0027,0.0053
17,-83,0.0023,0.0016,0.0023,0.0066
17,-82,0.002,-0.0001,0.002,0.0056
17,-81,0.0016,-0.0027,0.0007,0.0019
17,-80,0.0026,0,0.0014,0.0061
17,-79,0.0049,0.0091,0.0003,0.001
17,-78,0.0054,0.0092,0.0003,0.001
17,-77,0.006,0.0095,0.0004,0.001
17,-76,0.0065,0.0096,0.0004,0.001
17,-75,0.0076,0.0095,0.001,0.0009
17,-74,0.0073,0.0096,0.002,0.0009
17,-73,0.0076,0.0098,0.0019,0.0011
17,-72,0.0068,0.01,0.001,0.0011
17,-71,0.0073,0.0101,0.001,0.0009
17,-70,0.0072,0.0093,0.0003,0.0008
17,-69,0.0078,0.0087,0.0006,0.0002
17,-68,0.0113,0.0104,0.0011,0.0009
17,-67,0.0122,0.0108,0.0003,0.0002
17,-66,0.0124,0.011,0.0004,0.0006
17,-65,0.0127,0.0111,0.0004,0.0007
17,-64,0.015,0.011,0.0032,0.0011
17,-63,0.0159,0.0112,0.0034,0.0011
17,-62,0.0162,0.0114,0.0033,0.0011
17,-61,0.0169,0.0115,0.0035,0.0011
17,-60,0.0155,0.0117,0.0006,0.0003
16,-98,-0.0019,-0.0027,0.0028,0.0003
16,-97,-0.0011,-0.0027,0.0028,0.0003
16,-96,-0.0011,-0.0029,0.0025,0.0008
16,-95,0.0004,-0.003,0.0023,0.0009
